Company Name,Website,LinkedIn Search,Industry,Status,Personalized First Line
Hexcel,https://www.hexcel.com,https://www.linkedin.com/search/results/companies/?keywords=Hexcel,Advanced Materials / Composites,Ready for Outreach,"Noticed Hexcel's focus on lightweight composite materials, curious how you are helping aerospace manufacturers reduce weight without compromising strength."
Toray Advanced Composites,https://www.toraytac.com,https://www.linkedin.com/search/results/companies/?keywords=Toray%20Advanced%20Composites,Advanced Materials / Composites,Ready for Outreach,"Saw Toray Advanced Composites at CAMX, interested in how you are positioning thermoplastic solutions for next generation manufacturing."
Huntsman,https://www.huntsman.com,https://www.linkedin.com/search/results/companies/?keywords=Huntsman,Advanced Materials / Composites,Ready for Outreach,"Noticed Huntsman's innovation in advanced materials, curious how you are supporting manufacturers looking for faster and durable production systems."
Owens Corning,https://www.owenscorning.com,https://www.linkedin.com/search/results/companies/?keywords=Owens%20Corning,Advanced Materials / Composites,Ready for Outreach,"Saw Owens Corning's continued push in composites, interested in how you are helping industrial teams improve durability and efficiency."
Airtech,https://www.airtech.com,https://www.linkedin.com/search/results/companies/?keywords=Airtech,Advanced Materials / Composites,Ready for Outreach,"Noticed Airtech's presence at CAMX, curious how you are enabling manufacturers with tooling and process materials for scalable production."
SABIC,https://www.sabic.com,https://www.linkedin.com/search/results/companies/?keywords=SABIC,Advanced Materials / Composites,Ready for Outreach,"Saw SABIC exhibiting at CAMX, interested in how you are helping manufacturers adopt high performance material solutions."
Strongwell,https://www.strongwell.com,https://www.linkedin.com/search/results/companies/?keywords=Strongwell,Advanced Materials / Composites,Ready for Outreach,"Noticed Strongwell's expertise in pultruded composites, curious how you are supporting customers seeking long lasting structural solutions."
Composites One,https://www.compositesone.com,https://www.linkedin.com/search/results/companies/?keywords=Composites%20One,Advanced Materials / Composites,Ready for Outreach,"Saw Composites One at CAMX, interested in how you are helping customers source materials and streamline production."
Arkema,https://www.arkema.com,https://www.linkedin.com/search/results/companies/?keywords=Arkema,Advanced Materials / Composites,Ready for Outreach,"Noticed Arkema's material innovation focus, curious how you are supporting next generation composite applications."
Teijin,https://www.teijin.com,https://www.linkedin.com/search/results/companies/?keywords=Teijin,Advanced Materials / Composites,Ready for Outreach,"Saw Teijin exhibiting at CAMX, interested in how you are helping manufacturers with lightweight and sustainable material solutions."
